Issue_Type_ID,Issue_Category,Priority_Level,Issue_Subcategory_Corrected
2374,Payment,Medium,Payment Failed
2380,Payment,Medium,Refund Request
2386,Payment,Medium,Invoice Inquiry
2416,Payment,Medium,Payment Failed
2423,Payment,Medium,Invoice Inquiry
2428,Payment,Medium,Refund Request
2454,Payment,Medium,Payment Failed
2482,Payment,Medium,Payment Failed
2510,Payment,Medium,Refund Request
2518,Payment,Medium,Refund Request
2560,Payment,Medium,Payment Failed
2594,Payment,Medium,Payment Failed
2601,Payment,Medium,Payment Failed
2610,Payment,Medium,Payment Failed
2635,Payment,Medium,Invoice Inquiry
2639,Payment,Medium,Payment Failed
2652,Payment,Medium,Invoice Inquiry
2661,Payment,Medium,Refund Request
2663,Payment,Medium,Refund Request
2683,Payment,Medium,Payment Failed
2703,Payment,Medium,Invoice Inquiry
2718,Payment,Medium,Payment Failed
2730,Payment,Medium,Payment Failed
2764,Payment,Medium,Payment Failed
2801,Payment,Medium,Payment Failed
2805,Payment,Medium,Payment Failed
2806,Payment,Medium,Payment Failed
2828,Payment,Medium,Refund Request
2840,Payment,Medium,Payment Failed
2847,Payment,Medium,Refund Request
2852,Payment,Medium,Invoice Inquiry
2859,Payment,Medium,Payment Failed
2863,Payment,Medium,Payment Failed
2878,Payment,Medium,Invoice Inquiry
2890,Payment,Medium,Payment Failed
2924,Payment,Medium,Refund Request
2927,Payment,Medium,Refund Request
2948,Payment,Medium,Invoice Inquiry
2956,Payment,Medium,Payment Failed
2974,Payment,Medium,Payment Failed
3020,Payment,Medium,Refund Request
3031,Payment,Medium,Payment Failed
3035,Payment,Medium,Payment Failed
3065,Payment,Medium,Refund Request
3068,Payment,Medium,Refund Request
3076,Payment,Medium,Payment Failed
3081,Payment,Medium,Invoice Inquiry
3082,Payment,Medium,Payment Failed
3104,Payment,Medium,Payment Failed
3105,Payment,Medium,Payment Failed
3110,Payment,Medium,Payment Failed
3115,Payment,Medium,Refund Request
3120,Payment,Medium,Payment Failed
3124,Payment,Medium,Payment Failed
3139,Payment,Medium,Invoice Inquiry
3142,Payment,Medium,Payment Failed
3152,Payment,Medium,Payment Failed
3172,Payment,Medium,Payment Failed
3182,Payment,Medium,Payment Failed
3187,Payment,Medium,Payment Failed
3196,Payment,Medium,Refund Request
3206,Payment,Medium,Refund Request
3214,Payment,Medium,Refund Request
3221,Payment,Medium,Payment Failed
3244,Payment,Medium,Payment Failed
3276,Payment,Medium,Refund Request
3285,Payment,Medium,Payment Failed
3305,Payment,Medium,Payment Failed
3311,Payment,Medium,Payment Failed
3319,Payment,Medium,Invoice Inquiry
3326,Payment,Medium,Refund Request
3336,Payment,Medium,Payment Failed
3340,Payment,Medium,Refund Request
3372,Payment,Medium,Refund Request
3380,Payment,Medium,Invoice Inquiry
3384,Payment,Medium,Payment Failed
3386,Payment,Medium,Payment Failed
3439,Payment,Medium,Invoice Inquiry
3461,Payment,Medium,Payment Failed
3466,Payment,Medium,Payment Failed
3475,Payment,Medium,Refund Request
3488,Payment,Medium,Refund Request
3506,Payment,Medium,Payment Failed
3512,Payment,Medium,Payment Failed
3517,Payment,Medium,Payment Failed
3522,Payment,Medium,Payment Failed
3523,Payment,Medium,Refund Request
3549,Payment,Medium,Payment Failed
3561,Payment,Medium,Invoice Inquiry
3567,Payment,Medium,Refund Request
3594,Payment,Medium,Invoice Inquiry
3597,Payment,Medium,Refund Request
3619,Payment,Medium,Refund Request
3642,Payment,Medium,Refund Request
3696,Payment,Medium,Refund Request
3706,Payment,Medium,Payment Failed
3711,Payment,Medium,Payment Failed
3714,Payment,Medium,Payment Failed
3724,Payment,Medium,Payment Failed
3739,Payment,Medium,Payment Failed
3741,Payment,Medium,Payment Failed
3749,Payment,Medium,Refund Request
3779,Payment,Medium,Payment Failed
3808,Payment,Medium,Invoice Inquiry
3810,Payment,Medium,Payment Failed
3829,Payment,Medium,Payment Failed
3839,Payment,Medium,Payment Failed
3854,Payment,Medium,Payment Failed
3857,Payment,Medium,Refund Request
3869,Payment,Medium,Invoice Inquiry
3951,Payment,Medium,Payment Failed
3965,Payment,Medium,Refund Request
4004,Payment,Medium,Payment Failed
4027,Payment,Medium,Payment Failed
4036,Payment,Medium,Invoice Inquiry
4068,Payment,Medium,Invoice Inquiry
4102,Payment,Medium,Payment Failed
4125,Payment,Medium,Payment Failed
4149,Payment,Medium,Payment Failed
4215,Payment,Medium,Payment Failed
4232,Payment,Medium,Invoice Inquiry
4238,Payment,Medium,Payment Failed
4243,Payment,Medium,Payment Failed
4289,Payment,Medium,Payment Failed
4333,Payment,Medium,Payment Failed
4344,Payment,Medium,Refund Request
4352,Payment,Medium,Invoice Inquiry
4380,Payment,Medium,Payment Failed
4386,Payment,Medium,Payment Failed
4391,Payment,Medium,Payment Failed
4393,Payment,Medium,Payment Failed
4404,Payment,Medium,Invoice Inquiry
4405,Payment,Medium,Payment Failed
4420,Payment,Medium,Payment Failed
4426,Payment,Medium,Payment Failed
4429,Payment,Medium,Payment Failed
4432,Payment,Medium,Payment Failed
4442,Payment,Medium,Refund Request
4449,Payment,Medium,Invoice Inquiry
4453,Payment,Medium,Refund Request
4480,Payment,Medium,Payment Failed
4493,Payment,Medium,Payment Failed
4502,Payment,Medium,Payment Failed
4506,Payment,Medium,Payment Failed
4531,Payment,Medium,Refund Request
4555,Payment,Medium,Refund Request
4563,Payment,Medium,Invoice Inquiry
4589,Payment,Medium,Payment Failed
4605,Payment,Medium,Invoice Inquiry
4608,Payment,Medium,Refund Request
4622,Payment,Medium,Payment Failed
4637,Payment,Medium,Payment Failed
4658,Payment,Medium,Refund Request
4709,Payment,Medium,Payment Failed
4715,Payment,Medium,Payment Failed
4738,Payment,Medium,Payment Failed
4748,Payment,Medium,Payment Failed
4749,Payment,Medium,Payment Failed
4771,Payment,Medium,Payment Failed
4782,Payment,Medium,Payment Failed
4802,Payment,Medium,Invoice Inquiry
4818,Payment,Medium,Payment Failed
4820,Payment,Medium,Invoice Inquiry
4845,Payment,Medium,Invoice Inquiry
4850,Payment,Medium,Payment Failed
4863,Payment,Medium,Payment Failed
4865,Payment,Medium,Payment Failed
4873,Payment,Medium,Payment Failed
4883,Payment,Medium,Invoice Inquiry
4886,Payment,Medium,Payment Failed
4887,Payment,Medium,Payment Failed
4904,Payment,Medium,Payment Failed
4934,Payment,Medium,Payment Failed
4939,Payment,Medium,Payment Failed
4948,Payment,Medium,Payment Failed
4963,Payment,Medium,Payment Failed
4966,Payment,Medium,Invoice Inquiry
4969,Payment,Medium,Payment Failed
4975,Payment,Medium,Payment Failed
4981,Payment,Medium,Refund Request
4982,Payment,Medium,Payment Failed
5000,Payment,Medium,Payment Failed
5037,Payment,Medium,Payment Failed
5039,Payment,Medium,Payment Failed
5060,Payment,Medium,Payment Failed
5065,Payment,Medium,Payment Failed
5070,Payment,Medium,Payment Failed
5093,Payment,Medium,Payment Failed
5096,Payment,Medium,Payment Failed
5113,Payment,Medium,Payment Failed
5114,Payment,Medium,Payment Failed
5120,Payment,Medium,Payment Failed
5146,Payment,Medium,Payment Failed
5148,Payment,Medium,Payment Failed
5151,Payment,Medium,Payment Failed
5163,Payment,Medium,Refund Request
5187,Payment,Medium,Invoice Inquiry
5209,Payment,Medium,Payment Failed
5239,Payment,Medium,Invoice Inquiry
5240,Payment,Medium,Refund Request
5258,Payment,Medium,Payment Failed
5267,Payment,Medium,Refund Request
5273,Payment,Medium,Payment Failed
5293,Payment,Medium,Payment Failed
5327,Payment,Medium,Invoice Inquiry
5334,Payment,Medium,Refund Request
5338,Payment,Medium,Payment Failed
5390,Payment,Medium,Invoice Inquiry
5442,Payment,Medium,Payment Failed
5451,Payment,Medium,Payment Failed
5457,Payment,Medium,Refund Request
5463,Payment,Medium,Payment Failed
5466,Payment,Medium,Refund Request
5468,Payment,Medium,Payment Failed
5493,Payment,Medium,Payment Failed
5550,Payment,Medium,Payment Failed
5568,Payment,Medium,Refund Request
5615,Payment,Medium,Payment Failed
5618,Payment,Medium,Refund Request
5620,Payment,Medium,Payment Failed
5645,Payment,Medium,Refund Request
5686,Payment,Medium,Payment Failed
5689,Payment,Medium,Invoice Inquiry
5714,Payment,Medium,Payment Failed
5718,Payment,Medium,Invoice Inquiry
5730,Payment,Medium,Payment Failed
5743,Payment,Medium,Payment Failed
5766,Payment,Medium,Payment Failed
5776,Payment,Medium,Payment Failed
5799,Payment,Medium,Payment Failed
5818,Payment,Medium,Invoice Inquiry
5847,Payment,Medium,Payment Failed
5849,Payment,Medium,Payment Failed
5875,Payment,Medium,Payment Failed
5876,Payment,Medium,Refund Request
5924,Payment,Medium,Payment Failed
5937,Payment,Medium,Payment Failed
5957,Payment,Medium,Refund Request
5961,Payment,Medium,Payment Failed
5970,Payment,Medium,Invoice Inquiry
5,Account,Medium,Subscription Change
8,Account,Medium,Update Profile
12,Account,Medium,Update Profile
38,Account,Medium,Update Profile
43,Account,Medium,Subscription Change
68,Account,Medium,Update Profile
72,Account,Medium,Update Profile
75,Account,Medium,Update Profile
88,Account,Medium,Update Profile
109,Account,Medium,Subscription Change
114,Account,Medium,Update Profile
116,Account,Medium,Update Profile
129,Account,Medium,Update Profile
130,Account,Medium,Delete Account
136,Account,Medium,Subscription Change
197,Account,Medium,Update Profile
206,Account,Medium,Update Profile
212,Account,Medium,Update Profile
236,Account,Medium,Update Profile
245,Account,Medium,Subscription Change
317,Account,Medium,Subscription Change
341,Account,Medium,Update Profile
362,Account,Medium,Subscription Change
382,Account,Medium,Delete Account
397,Account,Medium,Update Profile
408,Account,Medium,Subscription Change
414,Account,Medium,Update Profile
424,Account,Medium,Subscription Change
431,Account,Medium,Subscription Change
452,Account,Medium,Update Profile
465,Account,Medium,Subscription Change
488,Account,Medium,Update Profile
489,Account,Medium,Update Profile
512,Account,Medium,Subscription Change
515,Account,Medium,Subscription Change
517,Account,Medium,Subscription Change
539,Account,Medium,Update Profile
563,Account,Medium,Update Profile
565,Account,Medium,Update Profile
566,Account,Medium,Update Profile
605,Account,Medium,Subscription Change
607,Account,Medium,Subscription Change
647,Account,Medium,Update Profile
710,Account,Medium,Update Profile
714,Account,Medium,Subscription Change
747,Account,Medium,Update Profile
790,Account,Medium,Subscription Change
802,Account,Medium,Update Profile
808,Account,Medium,Subscription Change
811,Account,Medium,Update Profile
821,Account,Medium,Update Profile
834,Account,Medium,Update Profile
882,Account,Medium,Update Profile
888,Account,Medium,Update Profile
893,Account,Medium,Update Profile
896,Account,Medium,Update Profile
902,Account,Medium,Update Profile
919,Account,Medium,Subscription Change
937,Account,Medium,Subscription Change
964,Account,Medium,Subscription Change
999,Account,Medium,Update Profile
1003,Account,Medium,Update Profile
1022,Account,Medium,Delete Account
1023,Account,Medium,Subscription Change
1050,Account,Medium,Update Profile
1081,Account,Medium,Update Profile
1090,Account,Medium,Update Profile
1128,Account,Medium,Update Profile
1129,Account,Medium,Subscription Change
1140,Account,Medium,Update Profile
1154,Account,Medium,Subscription Change
1186,Account,Medium,Subscription Change
1195,Account,Medium,Update Profile
1197,Account,Medium,Update Profile
1205,Account,Medium,Update Profile
1206,Account,Medium,Subscription Change
1215,Account,Medium,Delete Account
1217,Account,Medium,Update Profile
1261,Account,Medium,Subscription Change
1287,Account,Medium,Delete Account
1330,Account,Medium,Subscription Change
1356,Account,Medium,Subscription Change
1394,Account,Medium,Subscription Change
1398,Account,Medium,Update Profile
1431,Account,Medium,Delete Account
1440,Account,Medium,Subscription Change
1445,Account,Medium,Update Profile
1475,Account,Medium,Update Profile
1551,Account,Medium,Update Profile
1581,Account,Medium,Delete Account
1583,Account,Medium,Update Profile
1585,Account,Medium,Update Profile
1599,Account,Medium,Update Profile
1602,Account,Medium,Update Profile
1605,Account,Medium,Subscription Change
1627,Account,Medium,Delete Account
1641,Account,Medium,Update Profile
1658,Account,Medium,Subscription Change
1667,Account,Medium,Update Profile
1671,Account,Medium,Subscription Change
1677,Account,Medium,Subscription Change
1687,Account,Medium,Update Profile
1691,Account,Medium,Delete Account
1702,Account,Medium,Update Profile
1731,Account,Medium,Update Profile
1738,Account,Medium,Subscription Change
1750,Account,Medium,Subscription Change
1762,Account,Medium,Update Profile
1772,Account,Medium,Subscription Change
1811,Account,Medium,Update Profile
1824,Account,Medium,Delete Account
1837,Account,Medium,Update Profile
1838,Account,Medium,Update Profile
1839,Account,Medium,Update Profile
1840,Account,Medium,Subscription Change
1864,Account,Medium,Update Profile
1900,Account,Medium,Update Profile
1919,Account,Medium,Update Profile
1939,Account,Medium,Update Profile
1953,Account,Medium,Update Profile
1961,Account,Medium,Subscription Change
1963,Account,Medium,Update Profile
2020,Account,Medium,Update Profile
2026,Account,Medium,Subscription Change
2041,Account,Medium,Subscription Change
2042,Account,Medium,Delete Account
2049,Account,Medium,Update Profile
2080,Account,Medium,Update Profile
2085,Account,Medium,Delete Account
2101,Account,Medium,Update Profile
2115,Account,Medium,Subscription Change
2126,Account,Medium,Update Profile
2146,Account,Medium,Subscription Change
2152,Account,Medium,Subscription Change
2191,Account,Medium,Update Profile
2197,Account,Medium,Update Profile
2211,Account,Medium,Update Profile
2231,Account,Medium,Update Profile
2244,Account,Medium,Update Profile
2298,Account,Medium,Subscription Change
2303,Account,Medium,Subscription Change
2312,Account,Medium,Update Profile
2320,Account,Medium,Update Profile
2323,Account,Medium,Delete Account
2328,Account,Medium,Subscription Change
2330,Account,Medium,Delete Account
2409,Account,Medium,Subscription Change
2419,Account,Medium,Update Profile
2420,Account,Medium,Update Profile
2476,Account,Medium,Update Profile
2531,Account,Medium,Subscription Change
2535,Account,Medium,Update Profile
2536,Account,Medium,Update Profile
2554,Account,Medium,Update Profile
2566,Account,Medium,Update Profile
2579,Account,Medium,Update Profile
2580,Account,Medium,Update Profile
2589,Account,Medium,Subscription Change
2604,Account,Medium,Subscription Change
2657,Account,Medium,Delete Account
2676,Account,Medium,Subscription Change
2693,Account,Medium,Update Profile
2700,Account,Medium,Delete Account
2712,Account,Medium,Subscription Change
2713,Account,Medium,Update Profile
2724,Account,Medium,Update Profile
2725,Account,Medium,Update Profile
2734,Account,Medium,Update Profile
2744,Account,Medium,Subscription Change
2771,Account,Medium,Delete Account
2773,Account,Medium,Subscription Change
2782,Account,Medium,Update Profile
2791,Account,Medium,Subscription Change
2793,Account,Medium,Update Profile
2820,Account,Medium,Subscription Change
2829,Account,Medium,Update Profile
2831,Account,Medium,Update Profile
2841,Account,Medium,Update Profile
2877,Account,Medium,Delete Account
2883,Account,Medium,Delete Account
2885,Account,Medium,Update Profile
2893,Account,Medium,Update Profile
2911,Account,Medium,Update Profile
2937,Account,Medium,Subscription Change
2960,Account,Medium,Update Profile
2964,Account,Medium,Update Profile
2966,Account,Medium,Subscription Change
2970,Account,Medium,Subscription Change
2975,Account,Medium,Update Profile
2999,Account,Medium,Update Profile
3002,Account,Medium,Subscription Change
3008,Account,Medium,Update Profile
3015,Account,Medium,Subscription Change
3066,Account,Medium,Update Profile
3072,Account,Medium,Subscription Change
3073,Account,Medium,Subscription Change
3075,Account,Medium,Subscription Change
3080,Account,Medium,Subscription Change
3127,Account,Medium,Update Profile
3135,Account,Medium,Update Profile
3146,Account,Medium,Delete Account
3158,Account,Medium,Update Profile
3183,Account,Medium,Update Profile
3204,Account,Medium,Subscription Change
3212,Account,Medium,Update Profile
3224,Account,Medium,Subscription Change
3235,Account,Medium,Update Profile
3238,Account,Medium,Update Profile
3240,Account,Medium,Update Profile
3248,Account,Medium,Subscription Change
3250,Account,Medium,Update Profile
3289,Account,Medium,Update Profile
3364,Account,Medium,Delete Account
3367,Account,Medium,Update Profile
3378,Account,Medium,Subscription Change
3389,Account,Medium,Subscription Change
3403,Account,Medium,Update Profile
3451,Account,Medium,Subscription Change
3491,Account,Medium,Update Profile
3497,Account,Medium,Subscription Change
3502,Account,Medium,Subscription Change
3503,Account,Medium,Update Profile
3526,Account,Medium,Update Profile
3530,Account,Medium,Subscription Change
3551,Account,Medium,Update Profile
3573,Account,Medium,Subscription Change
3606,Account,Medium,Update Profile
3625,Account,Medium,Update Profile
3640,Account,Medium,Update Profile
3656,Account,Medium,Subscription Change
3660,Account,Medium,Update Profile
3674,Account,Medium,Update Profile
3682,Account,Medium,Update Profile
3720,Account,Medium,Update Profile
3722,Account,Medium,Update Profile
3794,Account,Medium,Update Profile
3801,Account,Medium,Update Profile
3811,Account,Medium,Subscription Change
3824,Account,Medium,Update Profile
3825,Account,Medium,Subscription Change
3832,Account,Medium,Subscription Change
3845,Account,Medium,Subscription Change
3853,Account,Medium,Delete Account
3860,Account,Medium,Subscription Change
3861,Account,Medium,Update Profile
3877,Account,Medium,Delete Account
3885,Account,Medium,Delete Account
3907,Account,Medium,Update Profile
3908,Account,Medium,Update Profile
3909,Account,Medium,Subscription Change
3945,Account,Medium,Update Profile
3952,Account,Medium,Update Profile
3970,Account,Medium,Subscription Change
3977,Account,Medium,Delete Account
3982,Account,Medium,Update Profile
3998,Account,Medium,Subscription Change
4000,Account,Medium,Subscription Change
4062,Account,Medium,Update Profile
4089,Account,Medium,Update Profile
4111,Account,Medium,Update Profile
4113,Account,Medium,Delete Account
4115,Account,Medium,Update Profile
4118,Account,Medium,Update Profile
4129,Account,Medium,Delete Account
4133,Account,Medium,Delete Account
4197,Account,Medium,Subscription Change
4199,Account,Medium,Subscription Change
4222,Account,Medium,Update Profile
4233,Account,Medium,Update Profile
4250,Account,Medium,Delete Account
4256,Account,Medium,Subscription Change
4283,Account,Medium,Update Profile
4304,Account,Medium,Subscription Change
4319,Account,Medium,Update Profile
4325,Account,Medium,Update Profile
4331,Account,Medium,Update Profile
4342,Account,Medium,Subscription Change
4349,Account,Medium,Update Profile
4361,Account,Medium,Update Profile
4403,Account,Medium,Update Profile
4410,Account,Medium,Update Profile
4440,Account,Medium,Delete Account
4443,Account,Medium,Update Profile
4491,Account,Medium,Update Profile
4515,Account,Medium,Delete Account
4525,Account,Medium,Subscription Change
4564,Account,Medium,Update Profile
4567,Account,Medium,Subscription Change
4573,Account,Medium,Update Profile
4587,Account,Medium,Update Profile
4592,Account,Medium,Update Profile
4615,Account,Medium,Update Profile
4621,Account,Medium,Update Profile
4624,Account,Medium,Update Profile
4629,Account,Medium,Delete Account
4634,Account,Medium,Delete Account
4705,Account,Medium,Subscription Change
4787,Account,Medium,Update Profile
4803,Account,Medium,Update Profile
4827,Account,Medium,Subscription Change
4831,Account,Medium,Subscription Change
4838,Account,Medium,Update Profile
4870,Account,Medium,Update Profile
4882,Account,Medium,Update Profile
4897,Account,Medium,Update Profile
4908,Account,Medium,Subscription Change
4919,Account,Medium,Update Profile
4920,Account,Medium,Update Profile
4961,Account,Medium,Subscription Change
4979,Account,Medium,Subscription Change
4983,Account,Medium,Update Profile
5005,Account,Medium,Update Profile
5010,Account,Medium,Update Profile
5015,Account,Medium,Update Profile
5031,Account,Medium,Update Profile
5040,Account,Medium,Update Profile
5049,Account,Medium,Subscription Change
5051,Account,Medium,Update Profile
5054,Account,Medium,Update Profile
5059,Account,Medium,Update Profile
5064,Account,Medium,Update Profile
5142,Account,Medium,Update Profile
5173,Account,Medium,Delete Account
5192,Account,Medium,Update Profile
5204,Account,Medium,Update Profile
5260,Account,Medium,Update Profile
5262,Account,Medium,Subscription Change
5288,Account,Medium,Subscription Change
5317,Account,Medium,Subscription Change
5325,Account,Medium,Update Profile
5372,Account,Medium,Update Profile
5386,Account,Medium,Subscription Change
5400,Account,Medium,Update Profile
5430,Account,Medium,Delete Account
5438,Account,Medium,Update Profile
5441,Account,Medium,Subscription Change
5456,Account,Medium,Subscription Change
5473,Account,Medium,Update Profile
5478,Account,Medium,Subscription Change
5484,Account,Medium,Subscription Change
5502,Account,Medium,Delete Account
5523,Account,Medium,Delete Account
5564,Account,Medium,Update Profile
5628,Account,Medium,Update Profile
5654,Account,Medium,Update Profile
5658,Account,Medium,Delete Account
5660,Account,Medium,Delete Account
5676,Account,Medium,Delete Account
5688,Account,Medium,Update Profile
5696,Account,Medium,Update Profile
5709,Account,Medium,Update Profile
5710,Account,Medium,Subscription Change
5717,Account,Medium,Subscription Change
5723,Account,Medium,Subscription Change
5728,Account,Medium,Update Profile
5733,Account,Medium,Update Profile
5746,Account,Medium,Update Profile
5773,Account,Medium,Update Profile
5782,Account,Medium,Update Profile
5786,Account,Medium,Update Profile
5790,Account,Medium,Subscription Change
5802,Account,Medium,Update Profile
5813,Account,Medium,Update Profile
5815,Account,Medium,Update Profile
5827,Account,Medium,Update Profile
5861,Account,Medium,Update Profile
5869,Account,Medium,Delete Account
5871,Account,Medium,Subscription Change
5873,Account,Medium,Update Profile
5906,Account,Medium,Update Profile
5947,Account,Medium,Subscription Change
5969,Account,Medium,Update Profile
5983,Account,Medium,Update Profile
6,Account,High,Update Profile
23,Account,High,Update Profile
27,Account,High,Update Profile
37,Account,High,Subscription Change
44,Account,High,Update Profile
95,Account,High,Update Profile
106,Account,High,Update Profile
127,Account,High,Update Profile
128,Account,High,Subscription Change
139,Account,High,Subscription Change
152,Account,High,Update Profile
153,Account,High,Subscription Change
164,Account,High,Update Profile
192,Account,High,Update Profile
223,Account,High,Update Profile
265,Account,High,Subscription Change
278,Account,High,Subscription Change
281,Account,High,Update Profile
300,Account,High,Update Profile
323,Account,High,Update Profile
376,Account,High,Subscription Change
398,Account,High,Update Profile
410,Account,High,Update Profile
429,Account,High,Subscription Change
451,Account,High,Subscription Change
463,Account,High,Subscription Change
486,Account,High,Subscription Change
490,Account,High,Update Profile
498,Account,High,Subscription Change
508,Account,High,Update Profile
509,Account,High,Update Profile
524,Account,High,Subscription Change
534,Account,High,Subscription Change
543,Account,High,Subscription Change
558,Account,High,Subscription Change
583,Account,High,Update Profile
611,Account,High,Update Profile
628,Account,High,Delete Account
629,Account,High,Subscription Change
648,Account,High,Update Profile
685,Account,High,Update Profile
699,Account,High,Subscription Change
736,Account,High,Subscription Change
774,Account,High,Update Profile
778,Account,High,Delete Account
780,Account,High,Delete Account
788,Account,High,Subscription Change
806,Account,High,Subscription Change
815,Account,High,Delete Account
818,Account,High,Update Profile
822,Account,High,Update Profile
830,Account,High,Update Profile
833,Account,High,Update Profile
872,Account,High,Subscription Change
891,Account,High,Update Profile
900,Account,High,Subscription Change
901,Account,High,Update Profile
909,Account,High,Update Profile
929,Account,High,Update Profile
934,Account,High,Update Profile
941,Account,High,Update Profile
942,Account,High,Update Profile
945,Account,High,Update Profile
960,Account,High,Update Profile
962,Account,High,Update Profile
963,Account,High,Update Profile
980,Account,High,Update Profile
988,Account,High,Update Profile
1001,Account,High,Update Profile
1015,Account,High,Update Profile
1031,Account,High,Update Profile
1040,Account,High,Subscription Change
1045,Account,High,Subscription Change
1051,Account,High,Subscription Change
1052,Account,High,Update Profile
1076,Account,High,Update Profile
1101,Account,High,Update Profile
1131,Account,High,Delete Account
1137,Account,High,Update Profile
1159,Account,High,Subscription Change
1188,Account,High,Update Profile
1208,Account,High,Subscription Change
1227,Account,High,Update Profile
1228,Account,High,Delete Account
1230,Account,High,Update Profile
1240,Account,High,Update Profile
1252,Account,High,Subscription Change
1256,Account,High,Update Profile
1258,Account,High,Update Profile
1262,Account,High,Update Profile
1286,Account,High,Subscription Change
1305,Account,High,Update Profile
1321,Account,High,Update Profile
1333,Account,High,Update Profile
1336,Account,High,Update Profile
1342,Account,High,Subscription Change
1346,Account,High,Update Profile
1354,Account,High,Update Profile
1364,Account,High,Subscription Change
1368,Account,High,Update Profile
1404,Account,High,Delete Account
1426,Account,High,Update Profile
1432,Account,High,Subscription Change
1444,Account,High,Subscription Change
1449,Account,High,Subscription Change
1450,Account,High,Subscription Change
1458,Account,High,Update Profile
1461,Account,High,Subscription Change
1465,Account,High,Update Profile
1489,Account,High,Update Profile
1512,Account,High,Update Profile
1533,Account,High,Update Profile
1572,Account,High,Delete Account
1575,Account,High,Subscription Change
1584,Account,High,Subscription Change
1597,Account,High,Update Profile
1607,Account,High,Subscription Change
1618,Account,High,Delete Account
1620,Account,High,Update Profile
1665,Account,High,Subscription Change
1675,Account,High,Subscription Change
1700,Account,High,Update Profile
1701,Account,High,Delete Account
1705,Account,High,Update Profile
1777,Account,High,Update Profile
1792,Account,High,Update Profile
1809,Account,High,Subscription Change
1821,Account,High,Update Profile
1849,Account,High,Update Profile
1854,Account,High,Update Profile
1870,Account,High,Update Profile
1886,Account,High,Subscription Change
1914,Account,High,Subscription Change
1917,Account,High,Subscription Change
1918,Account,High,Delete Account
1988,Account,High,Update Profile
1992,Account,High,Update Profile
2043,Account,High,Subscription Change
2044,Account,High,Subscription Change
2059,Account,High,Update Profile
2089,Account,High,Update Profile
2128,Account,High,Delete Account
2170,Account,High,Update Profile
2172,Account,High,Update Profile
2177,Account,High,Update Profile
2193,Account,High,Subscription Change
2204,Account,High,Update Profile
2226,Account,High,Update Profile
2234,Account,High,Update Profile
2235,Account,High,Subscription Change
2241,Account,High,Update Profile
2242,Account,High,Update Profile
2243,Account,High,Update Profile
2253,Account,High,Update Profile
2271,Account,High,Update Profile
2290,Account,High,Subscription Change
2299,Account,High,Update Profile
2305,Account,High,Subscription Change
2318,Account,High,Update Profile
2332,Account,High,Update Profile
2337,Account,High,Update Profile
2350,Account,High,Subscription Change
2359,Account,High,Subscription Change
2401,Account,High,Subscription Change
2404,Account,High,Update Profile
2405,Account,High,Subscription Change
2410,Account,High,Update Profile
2430,Account,High,Update Profile
2445,Account,High,Subscription Change
2466,Account,High,Delete Account
2474,Account,High,Subscription Change
2489,Account,High,Update Profile
2491,Account,High,Subscription Change
2493,Account,High,Update Profile
2519,Account,High,Update Profile
2521,Account,High,Update Profile
2523,Account,High,Delete Account
2538,Account,High,Update Profile
2571,Account,High,Subscription Change
2592,Account,High,Update Profile
2595,Account,High,Delete Account
2605,Account,High,Update Profile
2607,Account,High,Update Profile
2616,Account,High,Update Profile
2617,Account,High,Subscription Change
2632,Account,High,Subscription Change
2641,Account,High,Update Profile
2644,Account,High,Update Profile
2647,Account,High,Subscription Change
2649,Account,High,Update Profile
2650,Account,High,Update Profile
2658,Account,High,Update Profile
2694,Account,High,Update Profile
2708,Account,High,Subscription Change
2740,Account,High,Subscription Change
2808,Account,High,Delete Account
2819,Account,High,Update Profile
2872,Account,High,Subscription Change
2873,Account,High,Update Profile
2912,Account,High,Update Profile
2913,Account,High,Update Profile
2914,Account,High,Update Profile
2915,Account,High,Update Profile
2916,Account,High,Delete Account
2918,Account,High,Update Profile
2928,Account,High,Update Profile
2969,Account,High,Update Profile
2982,Account,High,Update Profile
2991,Account,High,Update Profile
2996,Account,High,Update Profile
3003,Account,High,Update Profile
3007,Account,High,Update Profile
3074,Account,High,Subscription Change
3103,Account,High,Subscription Change
3109,Account,High,Update Profile
3125,Account,High,Update Profile
3128,Account,High,Subscription Change
3137,Account,High,Update Profile
3144,Account,High,Delete Account
3154,Account,High,Subscription Change
3162,Account,High,Update Profile
3181,Account,High,Subscription Change
3203,Account,High,Subscription Change
3205,Account,High,Update Profile
3227,Account,High,Update Profile
3247,Account,High,Delete Account
3253,Account,High,Subscription Change
3288,Account,High,Delete Account
3298,Account,High,Subscription Change
3343,Account,High,Update Profile
3347,Account,High,Update Profile
3368,Account,High,Subscription Change
3388,Account,High,Delete Account
3411,Account,High,Subscription Change
3431,Account,High,Update Profile
3460,Account,High,Update Profile
3509,Account,High,Update Profile
3533,Account,High,Update Profile
3585,Account,High,Update Profile
3614,Account,High,Update Profile
3622,Account,High,Update Profile
3628,Account,High,Delete Account
3649,Account,High,Subscription Change
3652,Account,High,Update Profile
3672,Account,High,Delete Account
3694,Account,High,Update Profile
3702,Account,High,Subscription Change
3743,Account,High,Update Profile
3744,Account,High,Delete Account
3746,Account,High,Subscription Change
3768,Account,High,Update Profile
3778,Account,High,Delete Account
3783,Account,High,Subscription Change
